,ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
0,500,sdv-pii-1yd3o,sdv-pii-a4l0v,BJP,1,5 Crore+,0,Nevada,Post Graduate
1,501,sdv-pii-84xm0,sdv-pii-ise5n,BJD,0,2 Crore+,0,New Hampshire,Graduate
2,502,sdv-pii-p4mjq,sdv-pii-8rv6r,AITC,2,4 Crore+,0,Maryland,Doctorate
3,503,sdv-pii-0lguj,sdv-pii-l5c6a,JD(U),3,3 Crore+,33 Lac+,Washington,Post Graduate
4,504,sdv-pii-sgo1a,sdv-pii-h7ugz,BJP,1,5 Crore+,53 Lac+,Maine,Post Graduate
5,505,sdv-pii-int41,sdv-pii-qs5ba,BJP,0,7 Crore+,3 Lac+,Ohio,Graduate
6,506,sdv-pii-wgpgj,sdv-pii-bq04z,INC,0,5 Crore+,0,Kentucky,Post Graduate
7,507,sdv-pii-txzcp,sdv-pii-9clhp,BJP,3,4 Crore+,2 Crore+,Hawaii,5th Pass
8,508,sdv-pii-kt65j,sdv-pii-jxirf,SP,3,99 Lac+,5 Crore+,Vermont,Post Graduate
9,509,sdv-pii-qnejm,sdv-pii-2z10u,BJP,2,36 Lac+,1 Crore+,Idaho,12th Pass
10,510,sdv-pii-ge0o9,sdv-pii-r65al,DMK,3,9 Crore+,1 Lac+,Missouri,Graduate
11,511,sdv-pii-mdpku,sdv-pii-haprr,BJP,0,500 Crore+,39 Lac+,Iowa,Post Graduate
12,512,sdv-pii-eqs6c,sdv-pii-oynbe,INC,3,1 Crore+,17 Lac+,New Mexico,Others
13,513,sdv-pii-0ah7i,sdv-pii-4mqy5,JD(S),3,7 Crore+,20 Lac+,Oregon,Graduate Professional
14,514,sdv-pii-3wv74,sdv-pii-2n39m,BJP,1,67 Lac+,27 Lac+,Tennessee,Graduate
15,515,sdv-pii-f9geo,sdv-pii-fxpxw,IND,2,2 Crore+,0,Maine,Post Graduate
16,516,sdv-pii-21k3c,sdv-pii-umf1z,BJD,2,1 Crore+,15 Lac+,Wyoming,Post Graduate
17,517,sdv-pii-mz2dd,sdv-pii-o5h7m,BJP,3,5 Lac+,65 Lac+,Delaware,Post Graduate
